,Unnamed: 0,date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
93247,1689,2000-08-21,NVDA,0.0059,0.00548,bmo,170398000.0,136320000.0,2000-07-29,2023-05-17
93508,1950,2000-09-14,ORCL,0.09,0.06,bmo,2261875000.0,1866046875.0,2000-08-30,2023-05-17
96347,300,2000-10-18,MSFT,0.23,0.21,amc,5800000000.0,5295652173.913043,2000-09-29,2023-05-17
97619,1572,2000-11-09,NVDA,0.01455,0.05,bmo,198165000.0,165166666.6666667,2000-10-28,2023-05-17
98040,1993,2000-12-14,ORCL,0.11,0.1,bmo,2659546000.0,2393591400.0,2000-11-29,2023-05-17
100045,190,2001-01-18,MSFT,0.24,0.23,amc,6585000000.0,6310625000.0,2000-12-30,2023-05-17
102099,2244,2001-02-15,NVDA,0.016,0.1276,bmo,218218000.0,360030000.0,2001-01-27,2023-05-17
102620,2765,2001-03-15,ORCL,0.1,0.1,bmo,2674367000.0,2674367000.0,2001-02-27,2023-05-17
105930,482,2001-04-19,MSFT,0.22,0.21,amc,6456000000.0,6162545454.545454,2001-03-30,2023-05-17
107137,1689,2001-05-22,NVDA,0.02,0.01962,bmo,240932000.0,240900000.0,2001-04-28,2023-05-17
107414,1966,2001-06-18,ORCL,0.15,0.14,bmo,3263884000.0,3030749428.0,2001-05-30,2023-05-17
110521,373,2001-07-19,MSFT,0.22,0.21,amc,6455000000.0,6147619047.0,2001-06-29,2023-05-17
111802,1654,2001-08-14,NVDA,0.02,0.01906,bmo,260259000.0,259900000.0,2001-07-28,2023-05-17
112180,2032,2001-09-13,ORCL,0.09,0.08,bmo,2242045000.0,1961789375.0,2001-08-30,2023-05-17
115573,393,2001-10-18,MSFT,0.22,0.2,amc,6126000000.0,5569090909.09091,2001-09-29,2023-05-17
116764,1584,2001-11-08,NVDA,0.02,0.01679,bmo,370241000.0,324444444.4444445,2001-10-27,2023-05-17
117241,2061,2001-12-13,ORCL,0.1,0.1,bmo,2357335000.0,2357335000.0,2001-11-29,2023-05-17
119456,117,2002-01-16,AAPL,0.0019,0.00186,amc,1375000000.0,1375000000.0,2001-12-28,2023-05-17
119534,195,2002-01-17,MSFT,0.25,0.21,amc,7741000000.0,6266523809.0,2001-12-30,2023-05-17
122472,3133,2002-03-14,ORCL,0.09,0.09,bmo,2229343000.0,2229343000.0,2002-02-27,2023-05-17
127157,404,2002-04-18,MSFT,0.25,0.25,amc,7245000000.0,7245000000.0,2002-03-30,2023-05-17
128599,1846,2002-05-22,NVDA,0.04,0.03939,bmo,582905000.0,546468750.0,2002-04-27,2023-05-17
128869,2116,2002-06-18,ORCL,0.14,0.12,bmo,2844277000.0,2370230833.0,2002-05-30,2023-05-17
133278,169,2002-07-16,AAPL,0.00156,0.00151,amc,1429000000.0,1429000000.0,2002-06-28,2023-05-17
133413,304,2002-07-18,MSFT,0.21,0.21,amc,7253000000.0,7253000000.0,2002-06-29,2023-05-17
134942,1833,2002-08-15,NVDA,0.00259,0.00277,bmo,427285000.0,427300000.0,2002-07-27,2023-05-17
135266,2157,2002-09-17,ORCL,0.07,0.07,bmo,2028000000.0,2028000000.0,2002-08-30,2023-05-17
139913,323,2002-10-17,MSFT,0.28,0.21,amc,7746000000.0,5809499999.999999,2002-09-29,2023-05-17
141196,1606,2002-11-07,NVDA,-0.02643,-0.02196,bmo,430304000.0,645450000.0,2002-10-26,2023-05-17
141766,2176,2002-12-18,ORCL,0.1,0.08,bmo,2309000000.0,1731750000.0,2002-11-29,2023-05-17
145118,161,2003-01-16,MSFT,0.27,0.23,amc,8541000000.0,7275666666.666667,2002-12-30,2023-05-17
147654,2697,2003-02-13,NVDA,0.02534,0.01007,bmo,468953000.0,386925000.0,2003-01-25,2023-05-17
148408,3451,2003-03-18,ORCL,0.11,0.1,bmo,2307000000.0,2076300000.0,2003-02-27,2023-05-17
153254,156,2003-04-15,MSFT,0.27,0.24,amc,7835000000.0,6964444444.444444,2003-03-30,2023-05-17
154771,1673,2003-05-08,NVDA,0.0098,0.00862,bmo,404983000.0,405000000.0,2003-04-29,2023-05-17
155315,2217,2003-06-12,ORCL,0.16,0.14,bmo,2832000000.0,2427428571.0,2003-05-30,2023-05-17
160326,338,2003-07-17,MSFT,0.23,0.24,amc,8065000000.0,8401041666.0,2003-06-29,2023-05-17
161709,1721,2003-08-07,NVDA,0.01153,0.01575,bmo,459774000.0,613066666.6666667,2003-07-30,2023-05-17
162240,2252,2003-09-12,ORCL,0.08,0.08,bmo,2072000000.0,2072000000.0,2003-08-30,2023-05-17
167756,807,2003-10-23,MSFT,0.3,0.29,amc,8215000000.0,7941166666.666667,2003-09-29,2023-05-17
168649,1700,2003-11-06,NVDA,0.00306,0.00257,bmo,486069000.0,388880000.0,2003-10-30,2023-05-17
169275,2326,2003-12-15,ORCL,0.12,0.11,bmo,2498000000.0,2270909090.0,2003-11-29,2023-05-17
172729,55,2004-01-14,AAPL,0.00302,0.00276,amc,2006000000.0,2006000000.0,2003-12-26,2023-05-17
